"train/epoch","models/classla_wav2vec2-large-slavic-parlaspeech-hr_emotion_15epochs_ - _step","models/classla_wav2vec2-large-slavic-parlaspeech-hr_emotion_15epochs_ - _step__MIN","models/classla_wav2vec2-large-slavic-parlaspeech-hr_emotion_15epochs_ - _step__MAX","models/classla_wav2vec2-large-slavic-parlaspeech-hr_emotion_15epochs_ - eval/accuracy","models/classla_wav2vec2-large-slavic-parlaspeech-hr_emotion_15epochs_ - eval/accuracy__MIN","models/classla_wav2vec2-large-slavic-parlaspeech-hr_emotion_15epochs_ - eval/accuracy__MAX","models/facebook_wav2vec2-large-960h-lv60-self_emotion_15epochs_ - _step","models/facebook_wav2vec2-large-960h-lv60-self_emotion_15epochs_ - _step__MIN","models/facebook_wav2vec2-large-960h-lv60-self_emotion_15epochs_ - _step__MAX","models/facebook_wav2vec2-large-960h-lv60-self_emotion_15epochs_ - eval/accuracy","models/facebook_wav2vec2-large-960h-lv60-self_emotion_15epochs_ - eval/accuracy__MIN","models/facebook_wav2vec2-large-960h-lv60-self_emotion_15epochs_ - eval/accuracy__MAX","models/facebook_wav2vec2-large-slavic-voxpopuli-v2_emotion_15epochs_ - _step","models/facebook_wav2vec2-large-slavic-voxpopuli-v2_emotion_15epochs_ - _step__MIN","models/facebook_wav2vec2-large-slavic-voxpopuli-v2_emotion_15epochs_ - _step__MAX","models/facebook_wav2vec2-large-slavic-voxpopuli-v2_emotion_15epochs_ - eval/accuracy","models/facebook_wav2vec2-large-slavic-voxpopuli-v2_emotion_15epochs_ - eval/accuracy__MIN","models/facebook_wav2vec2-large-slavic-voxpopuli-v2_emotion_15epochs_ - eval/accuracy__MAX"
"1","17","17","17","0.6419141888618469","0.6237623691558838","0.6534653306007385","17","17","17","0.34983497858047485","0.30693069100379944","0.41584157943725586","17","17","17","0.44925743341445923","0.3316831588745117","0.5049505233764648"
"2","36","36","36","0.7112211187680563","0.6930692791938782","0.7227723002433777","36","36","36","0.5148514906565348","0.47029703855514526","0.5544554591178894","36","36","36","0.6138614018758138","0.6089109182357788","0.6237623691558838"
"3","54","54","54","0.7054455578327179","0.698019802570343","0.7128713130950928","54","54","54","0.5445544521013895","0.5099009871482849","0.5742574334144592","54","54","54","0.6171617110570272","0.5891088843345642","0.6336633563041687"
"4","73","73","73","0.7301980257034302","0.7277227640151978","0.7326732873916626","73","73","73","0.5957095821698507","0.5643564462661743","0.6386138796806335","73","73","73","0.6551155050595602","0.6435643434524536","0.6633663177490234"
"5","92","92","92","0.7227722704410553","0.7178217768669128","0.7277227640151978","92","92","92","0.6567656795183817","0.6287128925323486","0.6732673048973083","92","92","92","0.6864686409632365","0.6633663177490234","0.7079207897186279"
"6","110","110","110","0.7351485192775726","0.7277227640151978","0.7425742745399475","110","110","110","0.6683168212572733","0.6336633563041687","0.6930692791938782","110","110","110","0.67491747935613","0.6633663177490234","0.6881188154220581"
"7","129","129","129","0.7400990128517151","0.7326732873916626","0.7475247383117676","129","129","129","0.6963696281115214","0.6831682920455933","0.7079207897186279","129","129","129","0.6963696281115214","0.6782178282737732","0.7178217768669128"
"8","147","147","147","0.7277227640151978","0.7277227640151978","0.7277227640151978","147","147","147","0.6567656795183817","0.6386138796806335","0.6881188154220581","147","147","147","0.6798679828643799","0.6534653306007385","0.7029703259468079"
"9","166","166","166","0.7202970385551453","0.7128713130950928","0.7277227640151978","166","166","166","0.721122125784556","0.7128713130950928","0.7326732873916626","166","166","166","0.6996699571609497","0.6782178282737732","0.7277227640151978"
"10","185","185","185","0.7252475321292877","0.7227723002433777","0.7277227640151978","185","185","185","0.7095709443092346","0.6930692791938782","0.7178217768669128","185","185","185","0.6963696479797363","0.6881188154220581","0.7029703259468079"
"11","203","203","203","0.7202970385551453","0.7128713130950928","0.7277227640151978","203","203","203","0.7062706351280212","0.6930692791938782","0.7128713130950928","203","203","203","0.7062706351280212","0.6831682920455933","0.7227723002433777"
"12","222","222","222","0.7277227938175201","0.7227723002433777","0.7326732873916626","222","222","222","0.6848184665044149","0.6782178282737732","0.6930692791938782","222","222","222","0.7112211386362711","0.7029703259468079","0.7227723002433777"
"13","240","240","240","0.7301980257034302","0.7178217768669128","0.7425742745399475","240","240","240","0.6848184863726298","0.6584158539772034","0.7128713130950928","240","240","240","0.7062706152598063","0.6930692791938782","0.7277227640151978"
"14","259","259","259","0.7326732873916626","0.7326732873916626","0.7326732873916626","259","259","259","0.6848184665044149","0.6633663177490234","0.7079207897186279","259","259","259","0.7145214478174845","0.698019802570343","0.7277227640151978"
"15","278","278","278","0.7326732873916626","0.7326732873916626","0.7326732873916626","278","278","278","0.6848184665044149","0.6732673048973083","0.698019802570343","278","278","278","0.7161716421445211","0.7128713130950928","0.7227723002433777"
